End_year,Name,Release_season,Release_year,Tags
,Tobira wo Akete,,1986,"Fantasy, Isekai, Person in a Strange World, Psychic Powers, Rebellions, Nudity,, Violence"
,Meg & Patron: Ryuusei Girl,,2014,
,Distal: Psychomagic In An Adobe Home,,2017,Abstract
,TAMTAM: Coffee People,,2016,
,Nem: Hoshi wo Wataru Tori,,2011,Vocaloid
,Ai Monogatari: 9 Love Stories,,1993,"Drama, Romance, Seinen, Slice of Life, Collections, Based on a Manga"
2003,"I''s OVA",,2002,"Romance, Shounen, Love Triangle, Based on a Manga"
,Youkai Shoujo,,2010,"Abstract, Shorts"
,Akikan!,Winter,2009,"Comedy, Ecchi, Anthropomorphic, Sudden Girlfriend Appearance, Superpowers, Based on a Light Novel"
,PistStar,,2012,"Idols, Promotional"
,Wena Wrist CM,,2020,"Aviation, Commercials, No Dialogue, Promotional"
,Ishii Hiroyuki x Saitou Souma Essay-shuu,,2018,"Sci Fi, Commercials, Outer Space, Promotional"
,"Dragon's Dogma",Summer,2020,"Action, Adventure, Fantasy, Demons, Revenge, Based on a Video Game, CG Animation, Nudity"
,X Japan: Rusty Nail,,1994,
2010,Umi Monogatari: Kanon to Iku Amamikoshima,,2009,Based on a Video Game
,Nem: Kouhaku Manjushuka,,2013,"GL, Shoujo-ai, Vocaloid"
,DECO*27: Nisoku Hokou,,2010,"Black and White, Vocaloid"
,Jealkb: makemagic,,2011,"Fantasy, Person in a Strange World, Stop Motion Animation"
,Aa Harimanada,,1992,"Action, Seinen, Sports, Hand to Hand Combat, Sumo Wrestling, Tournaments, Wrestling, Based on a Manga"
2002,Kokoro Toshokan,Fall ,2001,"Comedy, Fantasy, Shounen, Slice of Life, Library, Siblings, Based on a Manga"
,Space Shower TV: Schoolyard ID,,2018,"No Dialogue, Promotional, Station Identifications"
,livetune: Transfer,,2012,Vocaloid
2008,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,,2007,"Comedy, Ecchi, Shounen, Panty Shots, Romance of the Three Kingdoms, Based on a Manga"
,Togainu no Chi,Fall ,2010,"Action, High Stakes Games, Based on an Otome Game, Based on a Visual Novel, Mature Themes,, Sexual Content,, Violence"
1982,Belle and Sebastian,,1981,"Adventure, Countryside, Dogs, Europe, Family Friendly, Pets, Based on a Novel"
,Zhangda Weiba de Tuzi,,1987,"Animal Protagonists, Anthropomorphic, Bears, Chinese Animation, Family Friendly, Forest, Non-Human Protagonists, Rabbits, Shorts"
,Wonderful World: Ganmen Shintaisou,,1989,"Family Friendly, Minna no Uta"
,Base Ball Bear: Juujika You and I,,2010,
,Hina no Uta,,2003,"Animal Protagonists, Birds, Minna no Uta, Non-Human Protagonists"
,Kakomareta Sekai,,1998,Shorts
2012,Kamiusagi Rope 3,,2011,"Comedy, Slice of Life, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Short Episodes"
,Naze Nani Dendrogram Episode 0,,2019,"Fantasy, Sci Fi, Animal Protagonists, Anthropomorphic, Chibi, MMORPG, Non-Human Protagonists, RPG, Shorts, Virtual Reality, Based on a Light Novel"
1977,Magnerobo Ga-Keen,,1976,"Action, Mecha, Sci Fi, Combining Mecha, Original Work"
,Delinquent Hamsters Dokkan!,,2017,"Comedy, Animal Protagonists, Delinquents, Hamsters, Non-Human Protagonists, Short Episodes, Flash Animation"
,Chokin Senshi Cashman,,1997,"Action, Comedy, Aliens, Shorts, Superheroes, Based on a Manga"
,Dorlis: Wakuwaku Nukegake Daisakusen,,2007,
,The Mad Capsule Markets: Scary,,2004,
,perfume BVH import,,2012,"Dancing, Shorts"
,Irodorimidori: Neko Matsuri,,2017,"Idols, Music"
,Sakura no Chikai: Marronni Yell - Higashi no Asuka Shimotsuke-shi wo Yell!,,2018,Idols
,OSTER project: Napo Napo Return Match,,2017,"Chibi, Food and Beverage, Italy, Vocaloid"
,Heroes of the ancient Olympic Games,,2021,"Sports, Historical, Short Episodes, Time Travel"
,Hino Hideshi Toukaidou Yotsuya Kaidan,,2000,Horror
,Kappa no Ude,,2009,"Japanese Mythology, Shorts"
,Lamaze-P: Prettinkle Sister,,2018,Vocaloid
2006,Kakutou Bijin Wulong,Fall ,2005,"Action, Ecchi, Seinen, Martial Arts, Tournaments, Based on a Manga"
,Gundam: Mission To The Rise,,1998,"Action, Mecha, Sci Fi, Outer Space, Shorts, CG Animation"
,Azusa Will Help!,,2004,"Sports, Baseball, Maids, Non-Human Protagonists, Robots, Original Work"
,Because I Don`t Like My Big Brother at All! Special,,2011,"Ecchi, Incest,, Mature Themes"
,Mon Colle Knights,Winter,2000,"Adventure, Fantasy, Card Battles, Monsters, Person in a Strange World, Superpowers, Based on a Card Game"
,Fuyu no Yoru no Ohanashi,,1989,"Family Friendly, Minna no Uta, Stop Motion Animation"
,Mobile Suit SD Gundam Mk II,,1989,"Comedy, Mecha, Chibi, Parody, Short Episodes"
,Shakugan no Shana: Shana & Yuuji no Naze Nani Shana! Nandemo Shitsumonbako!,,2007,"Chibi, Promotional"
,Den Den Mushi no Danko-san,,1974,"Animal Protagonists, Family Friendly, Minna no Uta, Non-Human Protagonists"
,Clazziquai: Beat in Love,,2008,Dancing
,Windows Tablet no Uta,,2014,Comedy
,Every Little Thing: Iikaereba,,2015,
,Nanairo Kakumei,,2015,"Shoujo, School Life, Short Episodes, Based on a Manga"
,Push,,1987,"Sci Fi, No Dialogue, Post-apocalyptic, Shorts"
,Soul Eater Not!,Spring,2014,"Action, Comedy, Fantasy, Shounen, Monster School, School Life, Shinigami, Supernatural, Based on a Manga"
,Namie Amuro: Dr.,,2009,Sci Fi
,"Diabolik Lovers More, Blood",Fall ,2015,"Reverse Harem, Shoujo, Mansion, Supernatural, Vampires, Based on an Otome Game, Based on a Visual Novel, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence"
,PSG: Nerenai!!!,,2011,Abstract
2010,"Queen's Blade 2: The Evil Eye Specials",,2009,"Comedy, Ecchi, Borderline H, Panty Shots, Explicit Sex"
,Onee-chan ga Kita,Winter,2014,"Comedy, Seinen, Slice of Life, Remarriage, Short Episodes, Siblings, Based on a Manga"
,"Poppin' Party: Hashiri Hajimeta bakari no Kimi ni",,2016,
,Haru wo Yobu Yume,,1970,Minna no Uta
2006,"I''s Pure Bonus",,2005,"Shounen, Based on a Manga"
,Kenshi Yonezu: Wonderland to Hitsuji no Uta,,2010,"Adventure, Fantasy"
,Irodorimidori: Agitation!,,2019,"Idols, Music"
,Memories Hidden in Darkness,,2000,Shorts
,Megane Super x Taka no Tsume: Yoshida Tenin no Hibi,,2015,"Comedy, Commercials, Parody, Picture Drama, Promotional, Short Episodes, Flash Animation"
,Ra/Radio Noise*Planet,,2010,Sci Fi
,Represent Chikyuu Collab Anime,,2019,"Comedy, Crude, Promotional, Short Episodes"
,out of service: Nishi-Shinjuku JCT,,2015,Vocaloid
,Rudolf to Ippaiattena x Godzilla x Toho Cinemas Moving Logo Eizou,,2016,"Comedy, Crossover, Kaijuu, Monsters, Promotional"
,Song of Wind and Trees,,1987,"BL, Drama, Romance, Shoujo, Shounen-ai, 19th Century, All-Boys School, Boarding School, Europe, France, Historical, LGBT Themes, Nobility, Psychological, School Life, Based on a Manga, Mature Themes"
,Metamorphose,,2013,"Black and White, Shorts"
,Mylene Farmer: Peut-etre Toi,,2006,"Action, Sci Fi, Robots"
,Yatogame-chan Kansatsu Nikki 2,Winter,2020,"Comedy, Shounen, Slice of Life, Educational, Short Episodes, Tourism, Based on a 4-Koma Manga, Based on a Manga"
,Ladies Versus Butlers Specials,,2010,"Ecchi, Explicit Sex"
,"POPPING, MIXING",,2012,"Abstract, No Dialogue, Shorts"
,Youki ni Utaeba,,1964,"Black and White, Family Friendly, Minna no Uta"
,Raja Maharaja,,1985,"Family Friendly, Minna no Uta"
,Space Shower TV: Keep Calm and Carry On ID,,2014,"Fantasy, No Dialogue, Promotional, Station Identifications"
,Kakinoki Mokkii,,2008,"Fantasy, Family Friendly, No Dialogue, Shorts"
,moumoon: Emerald no Oka,,2014,
,"Greeeen: Misenai Namida wa, Kitto Itsuka",,2012,"Adventure, Fantasy, Animal Protagonists, Magic, Non-Human Protagonists"
,Psycho Armor Govarian,,1983,"Action, Adventure, Mecha, Sci Fi, Outer Space, Psychic Powers"
,Haitai Nanafa 2,Spring,2013,"Comedy, Slice of Life, Family Friendly, Short Episodes, Original Work"
,Mushiba Tetsudou,,2009,Shorts
,My Beautiful Girl Mari,,2002,"Drama, Fantasy, Slice of Life, Childhood Friends, Family Friendly, Korean Animation"
,Papa to Kiss in the Dark,,2005,"BL, Drama, Romance, Yaoi, Age Gap, Based on a Light Novel, Explicit Sex,, Incest,, Mature Themes"
,The [email protected]: Live For You!,,2008,"Idols, Music, Shorts, Showbiz, Based on a Video Game"
,Document Fang of the Sun Dougram,,1983,"Drama, Mecha, Sci Fi, Real Robot, Recap"
2021,Girl X,,2019,"Comedy, Monsters, No Dialogue, Short Episodes, Stop Motion Animation"
,Honpo Fullkawa: Skirt,,2013,
,Pinocchio-P: Love is Onomatopoeia,,2014,Vocaloid
2003,Bomberman Jetters,Fall ,2002,"Action, Adventure, Comedy, Sci Fi, Family Friendly, Police, Based on a Video Game"
,Shokubai Phantom Girl: Natsuzo Rider,,2014,Vocaloid
,Pinocchio-P: Omocha Bot,,2009,"Non-Human Protagonists, Robots, Vocaloid"
,Utatane,,2011,Shorts
,Magia Record: Puella Magi Madoka Magica Side Story Recaps,,2021,"Action, Drama, Fantasy, Magical Girl, Mystery, Contemporary Fantasy, Dark Fantasy, Henshin Heroes, Magic, Recap, Urban Fantasy, Based on a Mobile Game"
1997,New Hurricane Polymar,,1996,"Action, Sci Fi, Superheroes, Superpowers, Original Work"
,Master of Torque Epilogue,Fall ,2016,"Motorcycles, Promotional, Racing, CG Animation"
,Pokemon XY: New Year Special,,2013,"Fantasy, Shounen, Family Friendly, Monsters, Recap, Based on a Video Game"
,Princess Iron Fan,,1941,"Adventure, Ancient China, Black and White, Chinese Animation, Journey to the West, Based on a Novel"
,Rootless Heart,,2011,"Horror, No Dialogue, Shorts, Stop Motion Animation, Supernatural"
,Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!,,1999,"Horror, Romance, Shoujo, School Life, Supernatural, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence"
,Kojima Keitany: Haru Yasumi no Yoru,,2018,
1979,Uchuu Majin Daikengou,,1978,"Action, Adventure, Mecha, Sci Fi, Shounen, Outer Space, Original Work"
,Happy Kappy Recap,,2011,"Family Friendly, Recap"
2018,Heisei Matsue Kaidan: Ayashi,,2017,"Horror, Short Episodes, Supernatural, Flash Animation"
,Zettai Bouei Leviathan: Mini Takibi Gekijou,,2013,"Comedy, Fantasy, Animal Characteristics, Chibi, Magic, Non-Human Protagonists, Short Episodes, Based on a Mobile Game"
,Hungry to Win,,2014,"Action, Sports, Commercials, Promotional, Soccer"
,"""Eiyuu"" Kaitai",,2016,"Drama, Fantasy, Slice of Life, Person in a Strange World, Reverse Isekai, RPG, Siblings, Based on a Light Novel"
,A Day Before Us: Merry Christmas!,,2018,"Christmas, Korean Animation, Shorts, Original Work"
,Baby Love,,1997,"Romance, Shoujo, Based on a Manga"
,Ricordi x Kamiusagi Rope,,2019,"Animal Protagonists, Commercials, Non-Human Protagonists, Promotional, Rabbits, Short Episodes"
,Saboten ga Nikui,,1988,"Anthropomorphic, Family Friendly, Minna no Uta, Stop Motion Animation"
,DECO*27: Yumeyume,,2012,Vocaloid
,siroPd: Period,,2014,Abstract
,Glass Fleet,Spring,2006,"Action, Adventure, Sci Fi, Outer Space, Political, Rebellions, Original Work"
,livetune: Take Your Way,,2013,Vocaloid
,Fate/Grand Order: All In! Las Vegas Championship Match: Seven Duels of Swordbeauties! Event PV,,2019,"Fantasy, Sci Fi, Promotional"
,Yotsunoha,,2008,"Romance, School Life, Based on an Eroge, Based on a Visual Novel"
,Ano Hi no Kokoro wo Toraete,,2019,"Drama, Sci Fi, Slice of Life, Childhood Friends, Promotional, Shorts, Original Work"
,Yurumates wa?,,2011,"Comedy, Seinen, Slice of Life, Boarding House, Chibi, Neighbors, Based on a 4-Koma Manga, Based on a Manga"
,Sorcerous Stabber Orphen: Battle of Kimluck,Winter,2021,"Action, Adventure, Fantasy, Magic, Based on a Light Novel, Violence"
,Geneshaft,Spring,2001,"Adventure, Mecha, Sci Fi, Aliens, Human Experimentation, Outer Space, Original Work"
,zap dog,,2019,"Comedy, Animal Protagonists, Dogs, Food Protagonists, Non-Human Protagonists, Shorts"
,TV-ban Pokemon Special Masara Town-hen Recaps,,2000,"Fantasy, Family Friendly, Proxy Battles, Recap, Based on a Video Game"
,Hikaru Genji: Paradise Ginga,,1989,Outer Space
,Shinkai no Kantai: Submarine 707,,1997,"Action, Adventure, Sci Fi, Military, Ocean, Submarine, Based on a Manga"
2019,Zoids Wild,Summer,2018,"Action, Mecha, Sci Fi"
,Tavito Nanao: Kensaku Shounen,,2010,Abstract
,Kore ga Masakano Are Deshita: Wakamono no Shoushisha Higai,,2020,"Comedy, Slice of Life, Original Work"
,Waiter,,2013,"Abstract, Alcohol, Psychological, Shorts"
,Insomniac,,2008,"Abstract, No Dialogue, Shorts"
,Andersen Monogatari Movie,,1968,"Family Friendly, Based on a Fairy Tale"
,Night Raid 1931: Prophecy,,2010,Recap
,Batman Ninja,,2018,"Action, Sci Fi, Feudal Japan, Ninja, Samurai, Superheroes, Time Travel, Based on a Comic Book, CG Animation"
,Armored Dragon Legend Villgust,,1993,"Comedy, Fantasy, Chibi, RPG, Based on a Video Game"
,Fight League: Gear Gadget Generators,Winter,2019,"Action, Sci Fi, Short Episodes, Based on a Mobile Game"
,Fables of the Green Forest,,1973,"Animal Protagonists, Anthropomorphic, Bears, Family Friendly, Forest, Non-Human Protagonists, Rabbits, World Masterpiece Theater, Based on a Novel"
,Kagami,,1960,"Black and White, Shorts, Stop Motion Animation"
,Kaze no Matasaburou,,1988,Countryside
,Soba e,,2019,"No Dialogue, Shorts, CG Animation"
,Un-Go: Inga Nikki,Fall ,2011,"Comedy, Chibi, Short Episodes"
,Twilight of the Cockroaches,,1987,"Drama, Anthropomorphic, Insects, Military, Non-Human Protagonists, War, Original Work"
2020,Bakugan: Battle Planet,Spring,2019,"Family Friendly, Proxy Battles"
,Hokkyoku no Muushika Miishika,,1979,"Adventure, Animal Protagonists, Bears, Family Friendly, Non-Human Protagonists, Based on a Novel"
,Penis,,2002,"Abstract, Shorts"
,Blassreiter: Navigator,,2008,"Action, Sci Fi, Demons, Motorcycles, Racing, Recap, Original Work"
,Trip Trek,,2003,"Adventure, Comedy, Short Episodes, Flash Animation"
,"Pokemon: Pikachu, What's This Key?",,2014,"Fantasy, Animal Protagonists, Family Friendly, Monsters, Non-Human Protagonists, Based on a Video Game"
,Voyager PV,,2016,"Comedy, Animal Protagonists, Family Friendly, Island, Non-Human Protagonists, Parody, Promotional, Short Episodes"
,Internet Explorer: Inori Aizawa,,2013,"Action, Magical Girl, Anthropomorphic, Henshin Heroes, Promotional, Shorts"
,The Four Seasons,Winter,2012,"Promotional, Short Episodes, Tourism"
,Balloon: Ame to Petra,,2017,Vocaloid
,Ai to Shi,,2013,Action
,Full Metal Panic! Invisible Victory - Intermission,,2018,"Action, Comedy, Mecha, Sci Fi, Guns, Military, Real Robot, Recap, Based on a Light Novel"
,Chizu no Nai Bouken,,2017,"Slice of Life, Promotional, Work Life, Original Work"
,Anima Yell! Ouen Douga,Fall ,2018,"Comedy, Chibi, Short Episodes"
,Irodorimidori: Fire Me Up,,2019,Idols
,ARP Backstage Pass: Paradise,,2020,"Dancing, Idols, Showbiz, CG Animation"
,"PLUG, THe NeW WORLD",,2011,"Fantasy, Promotional, Shorts, Stop Motion Animation"
,Te no Naka no Mahou,,1991,Minna no Uta
,Kunchi,,2012,"Abstract, Black and White, Shorts"
,Saru Kani Gassen (Yokoku),,2012,"Animal Protagonists, No Dialogue, Non-Human Protagonists, Shorts, CG Animation"
2017,Shounen Ashibe: Go! Go! Goma-chan,Spring,2016,"Comedy, Slice of Life, Animal Protagonists, Family Friendly, Non-Human Protagonists, Pets, Short Episodes, Based on a Manga"
1971,Akakichi no Eleven,,1970,"Shounen, Sports, Soccer, Based on a Manga"
2003,"I'll/CKBC",,2002,"Shounen, Sports, Basketball, Based on a Manga"
,HoneyWorks: Rockbell,,2012,"Drama, Vocaloid"
,Nabowa: Swan,,2017,Abstract
,Mashiro no Oto Mini,Winter,2021,"Chibi, School Life, Short Episodes, Based on a Manga"
,ABC Tenkiyohou,,2016,"Shorts, Stop Motion Animation, Original Work"
,"Cowboy Bebop: Ein's Summer Vacation",,2012,"Slice of Life, Picture Drama"
,Senran Kagura: Shinovi Master,Fall ,2018,"Action, Ecchi, Fantasy, Ninja, Based on a Video Game, Nudity"
,Magical Girl Lyrical Nanoha ViVid Recap,,2015,"Magical Girl, Shounen, Henshin Heroes, Magic, Recap, Based on a Manga"
,Robot Girls Z+,Spring,2015,"Action, Comedy, Ecchi, Mecha, Sci Fi, Anthropomorphic, Parody, Short Episodes"
,Boku wa Imouto ni Koi wo Suru,,2005,"Drama, Romance, Shoujo, Siblings, Based on a Manga, Incest,, Mature Themes,, Sexual Content"
,Ni-hiki no Sanma (1968),,1968,Shorts
,Green Green OVA,,2002,"Comedy, Ecchi, Romance, All-Girls School, Panty Shots, School Life, Based on an Eroge, Based on a Visual Novel"
,siroPd: Eraser,,2014,"Abstract, No Dialogue"
,"Wake Up, Girl Zoo! Miyagi PR de Go!",,2016,"Chibi, Promotional, Zoo"
,Pokemon: Pikachu Tanken Club,,2007,"Fantasy, Animal Protagonists, Family Friendly, Monsters, Non-Human Protagonists, Based on a Video Game"
,Yowai Mushi,,2012,"Drama, Slice of Life, Black and White, Shorts"
,Hakujaden,,1958,"Adventure, Fantasy, Romance, Ancient China, Historical, Star-Crossed Lovers, Based on a Novel"
,TOBACCO,,2012,"No Dialogue, Shorts"
,Kinako Movie x Mameshiba,,2010,"Comedy, Crossover, Dogs, Based on a Movie"
,Kabocha no Ojisan,,1987,"Family Friendly, Minna no Uta"
,Pokemon Mystery Dungeon: Gates to Infinity,,2012,"Adventure, Fantasy, Elemental Powers, Person in a Strange World, Promotional, Short Episodes, Based on a Video Game"
1978,Wakakusa no Charlotte,,1977,"Shoujo, Canada, Countryside, Family Friendly, Historical"
2006,Kirameki Project,,2005,"Action, Ecchi, Mecha, Sci Fi, Maids, Panty Shots, Original Work"
2017,Nyanbo!,Fall ,2016,"Comedy, Animal Protagonists, Cats, Family Friendly, Non-Human Protagonists, Short Episodes, CG Animation"
,Cakes,,2016,"Comedy, Anthropomorphic, Food and Beverage, Food Protagonists, Non-Human Protagonists"
2013,Accel World: Acchel World.,,2012,"Comedy, Chibi, Based on a Light Novel"
,Me! Me! Me! Chronic,,2015,"Japan Animator's Exhibition, Shorts, Mature Themes,, Nudity,, Sexual Content"
,Sekai no Heiwa wa Watashi ga Mamoru!,,2014,"Action, Comedy, Fantasy, Magical Girl, Henshin Heroes, No Dialogue, Parody, Superheroes, Tokusatsu, Vigilantes"
2014,Kuromajo-san ga Tooru!!,Spring,2012,"Comedy, Fantasy, Magical Girl, Slice of Life, Henshin Heroes, Magic, School Life, Short Episodes, Based on a Novel"
,Patisserie no Monster,,2016,"Slice of Life, Baking, Family Friendly, Food and Beverage, Short Episodes, Based on a Picture Book"
,Blue Gender: The Warrior,,2002,"Action, Horror, Sci Fi, Insects, Post-apocalyptic, Survival"
,Iron Man: Rise of Technovore,,2013,"Action, Sci Fi, Marvel Comics, Robots, Superheroes, Based on a Comic Book"
,Chao You Bing,,2014,"Comedy, Chinese Animation, Parody, Short Episodes"
,Pinocchio-P: Hitoribocchi No UFO,,2013,Vocaloid
1983,Flying House,,1982,"Adventure, Christianity, Family Friendly, Religion, Time Travel, Based on a Religious Text"
,Bokura no Hero,,2010,Minna no Uta
,Yuri Seijin Naoko-san (2012),,2012,"Comedy, Seinen, Aliens, Non-Human Protagonists, Based on a Manga"
,Neo Faust,,1999,"Horror, Seinen, Shorts, Based on a Manga"
1966,Prince Planet,,1965,"Sci Fi, Shounen, Black and White, Family Friendly, Superheroes, Based on a Manga"
,Honto ni Atta! Reibai-sensei,Spring,2011,"Comedy, Shounen, Slice of Life, Exorcists, School Life, Short Episodes, Supernatural, Based on a Manga, Flash Animation"
,"Woodpecker Detective's Office",Spring,2020,"Mystery, Boarding House, Detectives, Historical, Neighbors, Writers, Based on a Novel, Mature Themes,, Nudity,, Sexual Content,, Self-Harm"
,OSTER project: Cantabile × Passione,,2017,Vocaloid
,Crack,,2013,"Abstract, Shorts"
,Crocotires Traction AAA,,1999,"Sports, Anthropomorphic, Boxing, Hand to Hand Combat, Non-Human Protagonists, Shorts, CG Animation"
,Ore no Yubi de Midarero. Heitengo Futarikiri no Salon de…,Spring,2020,"Drama, Romance, Adult Couples, Coworkers, Mature Romance, Short Episodes, Smut, Based on a Manga, Explicit Sex"
,Psycho Nyanya: Nyanya Song,,2019,"Animal Protagonists, Cats, Non-Human Protagonists"
1968,Mahou Tsukai Sally,,1966,"Magical Girl, Shoujo, Family Friendly, Henshin Heroes, Magic, School Life, Witches, Based on a Manga"
,"Dead Dead Demon's Dededede Destruction",,2020,"Aliens, Promotional, Based on a Manga, CG Animation"
2015,KutsuDaru.,Spring,2014,"Comedy, Japanese Mythology, Short Episodes, Supernatural, Youkai"
,gdgd Fairies,Fall ,2011,"Comedy, Fantasy, Magic, CG Animation, Original Work"
2014,Himitsukessha Taka no Tsume MAX,Spring,2013,"Comedy, Short Episodes, Superheroes, Flash Animation, Original Work"
,Jimihen!! Jimiko wo Kaechau Jun Isei Kouyuu,Winter,2021,"Romance, Adult Couples, Borderline H, Coworkers, Short Episodes, Based on a Manga, Explicit Sex"
,Daremo Shiranai,,1961,"Black and White, Minna no Uta, Original Work"
,Robot Girls Z Specials,,2014,"Action, Comedy, Ecchi, Mecha, Sci Fi, Anthropomorphic, Parody"
1984,Mrs. Pepperpot,,1983,"Fantasy, Countryside, Episodic, Family Friendly, Magic, Short Episodes, Based on a Novel"
,Hello Kitty no Shirayuki-hime,,1993,"Fantasy, Animal Protagonists, Anthropomorphic, Cats, Non-Human Protagonists, Sanrio Characters, Based on a Fairy Tale"
,Peek-a-boo,,2011,"Slice of Life, Shorts, Original Work"
,"Kaibutsu ga, Umareta Hi.",,2017,"Monsters, No Dialogue, Promotional, Shorts, Supernatural, Based on a TV Series"
,Oni,,1972,"Countryside, Demons, Historical, Japanese Mythology, No Dialogue, Shorts, Siblings, Stop Motion Animation, Supernatural, Explicit Violence"
,Ponkotsuland Saga,,2015,"Adventure, Comedy, Fantasy, Crossover"
,Cook no Polka,,1964,"Black and White, Family Friendly, Minna no Uta"
1996,Wedding Peach,Spring,1995,"Fantasy, Magical Girl, Romance, Shoujo, Family Friendly, Henshin Heroes, Magic, Monster-of-the-week, Based on a Manga"
,Walkure Romanze,Fall ,2013,"Ecchi, Harem, Romance, Sports, School Life, Based on an Eroge, Based on a Visual Novel"
,Transformers: Scramble City,,1986,"Action, Mecha, Sci Fi, Combining Mecha, Non-Human Protagonists, Promotional, Robots, Sentient Mecha, Shorts, Super Robot, Transforming Mecha"
,Yuyushiki: Nyanyashiki,,2013,"Comedy, Seinen, Chibi, Based on a Manga"
,MaxValu Kyushu,,2008,"Commercials, Promotional, Work Life"
,Cocktail Prince: Making Love!!,,2016,"Alcohol, Bar, Food and Beverage, Opening Animation, Based on a Video Game"
,rerulili: JOYRIDE,,2011,Vocaloid
,Pa Para Papa,,2002,Minna no Uta
,Golden Batman,,1979,"Action, Family Friendly, Korean Animation, Superheroes"
,Nozoki Ana,,2013,"Seinen, Adult Couples, Blackmail, Borderline H, Fetish, Neighbors, Playboys, Voyeurism, Based on a Manga, Explicit Sex,, Mature Themes,, Physical Abuse,, Sexual Abuse"
,Rokushin Gattai God Mars Movie,,1982,"Mecha, Sci Fi, Recap"
,Gin-iro no Olynssis,Fall ,2006,"Adventure, Drama, Mecha, Post-apocalyptic, Original Work"
,Tiger & Bunny Pilot,,2011,"Sci Fi, Original Work"
,Code Geass: Lelouch of the Rebellion Picture Drama - Hajimari no Zenya,,2013,Picture Drama
,OhashiTrio: Stereo,,2018,Abstract
1999,Super Doll Licca-chan,Fall ,1998,"Comedy, Magical Girl, Henshin Heroes, Magic, Original Work"
,"Pokemon: Pikachu's Summer Bridge Story",,2011,"Fantasy, Family Friendly, Shorts, Based on a Video Game"
,Pastel＊Palettes: Shuwarin☆Dorimin,,2017,
,Hokori Inu no Hanashi,,2013,"Dogs, No Dialogue, Pets, Shorts"
,Kage,,2004,"Action, Drama, Assassins, Borderline H, Feudal Japan, Historical, Ninja, Swordplay, Explicit Sex,, Explicit Violence"
,Jack and the Beanstalk,,1974,"Adventure, Fantasy, Countryside, Family Friendly, Magic, Based on a Fairy Tale, Mature Themes,, Physical Abuse"
,Yuuki Yuuna wa Yuusha de Aru Churutto!,Spring,2021,"Comedy, Chibi, Short Episodes"
,Yume Utsutsu (2010),,2010,"Abstract, No Dialogue, Shorts, Original Work"
,Keita Sano: Mad Love,,2017,"Abstract, Nudity,, Sexual Content"
,Luck & Logic,Winter,2016,"Fantasy, Magic, Original Work"
,Locke the Superman Pilot,,1979,"Action, Sci Fi, Outer Space, Psychic Powers"
,Entotsuya Peroo,,1930,Family Friendly
,"Comet Lucifer: From Garden Indigo's Train Shorts",,2016,"Comedy, Chibi, Flash Animation, Original Work"
,Maerchen Maedchen Specials,,2019,"Fantasy, Magic, Person in a Strange World, School Life, Based on a Light Novel"
,Nineko Gelee,,2016,"Fantasy, Animal Protagonists, Anthropomorphic, Cats, Non-Human Protagonists, Original Work"
,Hi no Youjin,,2013,"Shorts, CG Animation, Original Work"
,Yume no Ukiyo ni Saitemina,,2015,Music
,Yurumates (2012),,2012,"Comedy, Seinen, Slice of Life, Boarding House, Chibi, Neighbors, Short Episodes, Based on a 4-Koma Manga, Based on a Manga"
,Shisha no Sho,,2005,"Religion, Stop Motion Animation, Supernatural"
,Magical Warfare,Winter,2014,"Action, Fantasy, Magic, School Life, Based on a Light Novel"
,until You come to me.,,2014,"Mecha, Sci Fi, Japan Animator's Exhibition, Post-apocalyptic, Shorts"
,"Aesop's Fables",,1983,"Adventure, Fantasy, Countryside, Delinquents, Family Friendly, Person in a Strange World, Based on a Fairy Tale, Animal Abuse,, Mature Themes"
,The [email protected] Million Live! 1st Anniversary PV,,2014,"Drama, Idols, Promotional"
,Chogattai Majutsu Robot Ginguiser,,1977,"Action, Mecha, Sci Fi, Original Work"
2005,Meine Liebe,Fall ,2004,"Europe, Political, Based on a Visual Novel"
,Panda-Z: The Robonimation,Spring,2004,"Comedy, Mecha, Sci Fi, Animal Protagonists, Anthropomorphic, Bears, Chibi, Family Friendly, Non-Human Protagonists, Pandas, Parody, Short Episodes, Original Work"
,Nenga no Kizuna,,2014,"Black and White, Shorts"
,Tantei Opera Milky Holmes TD,Winter,2015,"Comedy, Mystery, Detectives, Sherlock Holmes"
,Nyanpire The Animation,Summer,2011,"Comedy, Animal Protagonists, Cats, Non-Human Protagonists, Short Episodes, Vampires, Based on a Doujinshi, Flash Animation"
,ClariS: with you,,2013,
2018,Puzzle & Dragons X,Summer,2016,"Fantasy, Proxy Battles, Based on a Video Game"
,"mishmash* & Julie Watai: Maware Migi, Nigerunda",,2013,Abstract
,PiNMeN rework,,2005,"Abstract, Aliens, Short Episodes, Original Work"
,Toumei Shounen Tantei Akira,,1970,"Action, Original Work"
,Mameshiba: Kansatsu-hen,,2010,"Animal Protagonists, Dogs, Food and Beverage, Food Protagonists, Non-Human Protagonists"
,Ame no Ten Ten,,1985,Minna no Uta
