End_year,Name,Release_season,Release_year
2014,Mobile Suit Gundam Unicorn,,2010
2015,The Disappearance of Conan Edogawa: The Worst Two Days in History,,2014
1996,Dragon Ball Z,,1989
2015,The Prince of Tennis II OVA vs. Genius 10,,2014
,Tsubasa: Spring Thunder Chronicle,,2009
,From Up on Poppy Hill,,2011
2016,One-Punch Man Specials,,2015
,Initial D Legend 3: Dream,,2016
,Hellsing Ultimate: Digest for Freaks,,2006
,Honey and Clover II,Summer,2006
,The Garden of Sinners: Recalled Out Summer,,2013
2020,That Time I Got Reincarnated as a Slime OVA,,2019
,Overlord: The Dark Hero,,2017
,Lovely Complex,Spring,2007
2007,The Prince of Tennis: The National Tournament,,2006
,Wonder Egg Priority,Winter,2021
,Romeo no Aoi Sora,Winter,1995
,"Sekai-ichi Hatsukoi: World's Greatest First Love - Proposal-hen",,2020
,Assassination Classroom: Jump Festa 2013 Special,,2013
,Broken Blade Movie 5: The Gap Between Life & Death,,2011
2008,The Story of Saiunkoku 2nd Series,Spring,2007
,Thunderbolt Fantasy: Sword Seekers 2,Fall ,2018
,The Millionaire Detective - Balance:Unlimited,Spring,2020
2010,REBORN!,Fall ,2006
,"DAKAICHI: I'm being harassed by the sexiest man of the year",Fall ,2018
,Megalo Box,Spring,2018
,The Wind Rises,,2013
,Saint Seiya: The Lost Canvas - Meiou Shinwa 2nd Chapter,,2011
2019,IDOLiSH7: Vibrato,Winter,2018
2004,Planetes,Fall ,2003
,Digimon Adventure Movie: Last Evolution Kizuna,,2020
,Initial D Third Stage,,2001
,Millennium Actress,,2001
,Junjou Romantica,Spring,2008
,"Arifureta: From Commonplace to World's Strongest 2nd Season",Winter,2022
,The Garden of Sinners Movie 4: Garan-no-Dou. (The Hollow Shrine),,2008
,Darker than Black: Kuro no Keiyakusha Gaiden,,2010
,Tower of God,Spring,2020
,Major Movie: Yuujou no Winning Shot,,2008
,Sword Art Online: Alicization - War of Underworld,Fall ,2019
,Ponyo on the Cliff by the Sea,,2008
,Girls und Panzer: Saishuushou 3,,2021
,Charlotte,Summer,2015
2011,Gosick,Winter,2010
,Legend of the Galactic Heroes: Overture to a New War,,1993
,Hakuouki Movie 2: Warrior Spirit of the Blue Sky,,2014
2015,Dragon Ball Z Kai: The Final Chapters,Spring,2014
,Yaoshenji 2nd Season,,2018
,"Hozuki's Coolheadedness OVA",,2015
,Hanamonogatari,,2014
,Beastars 2,Winter,2021
,Psycho-Pass 3: First Inspector,,2020
,Ghost in the Shell 2.0,,2008
,"Kuroko's Basketball Movie 2: Winter Cup Highlights -Beyond the Tears-",,2016
,Dou Po Cangqiong Specials,,2017
,Scissor Seven,,2018
2003,Saint Seiya: The Hades Chapter - Sanctuary,,2002
,The Case Study of Vanitas,Summer,2021
2015,Log Horizon 2,Fall ,2014
,Transformers: The Movie,,1986
,Minami: Kawaki wo Ameku,,2019
,Spice and Wolf II OVA,,2009
,Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem,,2009
,Blue Exorcist,Spring,2011
,"Broken Blade Movie 3: Scars from an Assassin's Blade",,2010
,"Clannad: Another World, Tomoyo Chapter",,2008
,Seraph of the End: Battle in Nagoya,Fall ,2015
,"Monthly Girls' Nozaki-kun",Summer,2014
,"Natsume's Book of Friends: Nyanko-sensei & The First Errand",,2013
,"Legend of the Galactic Heroes: A Hundred Billion Stars, A Hundred Billion Lights",,1998
2013,From the New World,Fall ,2012
,Wu Shen Zhuzai,,2020
,Cardcaptor Sakura: The Movie 2: The Sealed Card,,2000
,The Devil is a Part-Timer!,Spring,2013
,Initial D Legend 2: Racer,,2015
,Interstella 5555 - The 5tory of the 5ecret 5tar 5ystem,,2003
,Xingchen Bian,,2018
2020,Wan Jie Xian Zong 3rd Season,,2019
2012,Saiyuki Gaiden,,2011
,Junjou Romantica OVA,,2012
,Tanaka-kun is Always Listless,Spring,2016
,Hyouka,Spring,2012
2007,Naruto,Fall ,2002
,Kono Oto Tomare!,Spring,2019
,Mobile Suit Gundam: The Origin - Advent of the Red Comet,Spring,2019
,Xingchen Bian 2nd Season,,2020
,Blue Spring Ride,Summer,2014
,"DAKAICHI: I'm being harassed by the sexiest man of the year- Spain Arc",,2021
,Kokoro Connect: Michi Random,,2012
,Free! -Timeless Medley- The Promise,,2017
,Ling Jian Zun 5th Season,,2021
2009,Black Butler,Fall ,2008
,The Labyrinth of Grisaia,,2015
,Detective Conan Movie 16: The Eleventh Striker,,2012
,Saint Seiya: The Hades Chapter - Sanctuary: Yomigaerishi Gold Saint-tachi no Shinwa,,2003
,Ushio and Tora TV (2016),Spring,2016
,My Teen Romantic Comedy SNAFU TOO! OVA,,2016
2018,Dragon Ball Super,Summer,2015
,Nanbaka 2nd Season,Winter,2017
,Big Windup! 2,Spring,2010
,Psycho-Pass: The Movie,,2015
,Hi Score Girl: Extra Stage,,2019
2015,Shirobako,Fall ,2014
,How to Keep a Mummy,Winter,2018
,Kakuriyo: Bed & Breakfast for Spirits,Spring,2018
,Sword Art Online: Alicization - War of Underworld: Part II,Summer,2020
2011,Durarara!! Specials,,2010
,Stand By Me Doraemon 2,,2020
,"Poco's Udon World",Fall ,2016
,Initial D Legend 1: Awakening,,2014
,Perfect Blue,,1998
,Neon Genesis Evangelion: The End of Evangelion,,1997
,The Eden of Grisaia,Spring,2015
,"Working'!!",Fall ,2011
,Girls und Panzer: Saishuushou 2,,2019
,Naruto Shippuden Movie 6: Road to Ninja,,2012
,Lupin III vs Detective Conan: The Movie,,2013
,Jormungand,Spring,2012
,Free! -Timeless Medley- The Bond,,2017
,My Next Life as a Villainess: All Routes Lead to Doom!,Spring,2020
,High School DxD NEW,Summer,2013
,Detective Conan Movie 2: The Fourteenth Target,,1998
,"Hozuki's Coolheadedness OVA 2",,2017
,Eden of the East,Spring,2009
2018,Attack on Titan: Lost Girls,,2017
1999,Mobile Suit Gundam: The 08th MS Team,,1996
,Mobile Suit Gundam Wing: Endless Waltz Movie,,1998
,My Teen Romantic Comedy SNAFU,Spring,2013
,"Wolf's Rain OVA",,2004
,Berserk: Golden Age Arc I - The Egg of the King,,2012
,The Quintessential Quintuplets,Winter,2019
,Sket Dance OVA,,2013
2008,Kaiji - Ultimate Survivor,Fall ,2007
,Spiritpact: Bond of The Underworld,Winter,2018
1996,Neon Genesis Evangelion,Fall ,1995
,"The Night is Short, Walk On Girl",,2017
,Orange,Summer,2016
,Tian Bao Fuyao Lu,,2020
,Aggretsuko,Spring,2018
,Fanren Xiu Xian Chuan,,2020
,Xue Ying Lingzhu Zhi Qiyu Pian,,2020
,Detective Conan Movie 21: Kara Kurenai no Love Letter,,2017
,"Kuroko's Basketball Movie 1: Winter Cup Highlights -Shadow and Light-",,2016
,YOASOBI: Kaibutsu,,2021
,Detective Conan Movie 1: The Time Bombed Skyscraper,,1997
,The Morose Mononokean II,Winter,2019
,The Garden of Sinners Movie 2: ...And Nothing Heart. (Murder Speculation Part A),,2007
,Broken Blade Movie 6: Fortress of Lamentation,,2011
,Hakuouki Movie 1: Wild Dance of Kyoto,,2013
,Beastars,Fall ,2019
,Ride Your Wave,,2019
,Goblin Slayer,Fall ,2018
,Death Billiards,,2013
2008,D.Gray-man,Fall ,2006
,Broken Blade Movie 2: The Path of Separation,,2010
,Silver Fang,,1986
,Kase-san & Morning Glories,,2018
,Ascendance of a Bookworm OVA,,2020
,Pokemon: The Origin,,2013
,The Eccentric Family 2,Spring,2017
,The Anthem of the Heart,,2015
,Free! Dive to the Future: Build-Up of Early Spring!,,2018
2012,Magic Kaito,,2010
,Detective Conan Movie 12: Full Score of Fear,,2008
,Free! Eternal Summer,Summer,2014
,Tamako Love Story,,2014
,Rurouni Kenshin: Special Techniques,,1997
2020,Seitokai Yakuindomo* OVA,,2014
,The Melancholy of Haruhi Suzumiya,Spring,2006
,"Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up)",,2017
,Noragami OVA,,2014
,Phantom: Requiem for the Phantom,Spring,2009
,Durarara!! X2: My Heart Is in the Pattern of a Hot Pot,,2015
,The Misfit of Demon King Academy,Summer,2020
,Free! Dive to the Future,Summer,2018
,Zombie Land Saga Revenge,Spring,2021
,Mob Psycho 100 II: The First Spirits and Such Company Trip - A Journey that Mends the Heart and Heals the Soul,,2019
,Real Girl 2nd Season,Winter,2019
,"Kuroko's Basketball: Let's Do That Again",,2014
,The World is Still Beautiful,Spring,2014
,High School DxD BorN,Spring,2015
,"xxxHOLiC Movie: A Midsummer Night's Dream",,2005
,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,Fall ,2020
,"Girls' Last Tour",Fall ,2017
,Date a Live: Encore OVA,,2014
,Blood Blockade Battlefront & Beyond,Fall ,2017
,Lucky Star OVA,,2008
,When They Cry: Higurashi,Spring,2006
,Baby Steps,Spring,2014
,Final Fantasy VII: Advent Children,,2005
,Psycho-Pass SS: Case. 3 - Onshuu no Kanata ni,,2019
,The Cat Returns,,2002
2010,Yumeiro Pâtissière,Fall ,2009
,D.Gray-man Hallow,Summer,2016
,Sword Art Online Movie: Ordinal Scale,,2017
,Wushang Shen Di 2nd Season,,2021
2020,Hungry Days x One Piece,,2019
,Paprika,,2006
,Revue Starlight Movie,,2021
,"Magical Girl Lyrical Nanoha A's",Fall ,2005
,Liz and the Blue Bird,,2018
,Thunderbolt Fantasy 3,Spring,2021
,Detective Conan OVA 10: Kid in Trap Island,,2010
2014,"Attack on Titan: Ilse's Notebook",,2013
,Hakuouki: Dawn of the Shinsengumi Tokuten Disc,,2013
,The Garden of Words,,2013
2019,Tsurune,Fall ,2018
2016,Lupin III: Part IV,Summer,2015
2010,Saint Seiya: The Lost Canvas - Meiou Shinwa,,2009
,Anohana: The Flower We Saw That Day Movie,,2013
,Outlaw Star,Winter,1998
,Little Witch Academia TV,Winter,2017
,Magical Girl Lyrical Nanoha The MOVIE 1st,,2010
2006,Glass Mask (2005),Spring,2005
,"Hora, Mimi ga Mieteru yo! 2",Winter,2019
,Detective Conan Movie 17: Zekkai no Private Eye,,2013
2019,Sword Art Online: Alicization,Fall ,2018
,The Irregular at Magic High School: Reminiscence Arc,,2021
2014,Kill La Kill,Fall ,2013
,Girls und Panzer das Finale: Part 1,,2017
,Akame ga Kill!,Summer,2014
,Yuru Yuri San☆Hai!,Fall ,2015
,Alderamin on the Sky,Summer,2016
,Aria the Natural,Spring,2006
,Detective Conan Movie 7: Crossroad in the Ancient Capital,,2003
2007,Ghost Hunt,Fall ,2006
2022,The Daily Life of the Immortal King 2,,2021
,Food Wars! The Fifth Plate,Spring,2020
,Love Live! The School Idol Movie,,2015
,Hi Score Girl II,Fall ,2019
,Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,,2008
,Baka and Test - Summon the Beasts 2,Summer,2011
,Kakushigoto,Spring,2020
,"The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat",Fall ,2021
,Lupin III: The Castle of Cagliostro,,1979
,"Kuroko's Basketball OVA",,2013
2008,Macross Frontier,Fall ,2007
2013,Nura: Rise of the Youkai Clan OVA,,2012
2007,The Story of Saiunkoku,Spring,2006
,"So I'm a Spider, So What?",Winter,2021
,Mobile Suit Gundam Wing: Endless Waltz,,1997
2000,Legend of the Galactic Heroes: Spiral Labyrinth,,1999
,Golden Kamuy,Spring,2018
,Major 2nd: Second Season,Spring,2020
,Sword Art Online,Summer,2012
,Your lie in April: Moments,,2015
,Kengan Ashura 2,Fall ,2019
,Detective Conan,Winter,1996
,Detective Conan OVA 9: The Stranger of 10 Years,,2009
,The Witcher: Nightmare of the Wolf,Summer,2021
,"Clannad: Another World, Kyou Chapter",,2009
,Tsukigakirei,Spring,2017
2020,Radiant 2nd Season,Fall ,2019
,My Senpai is Annoying,Fall ,2021
1989,Dragon Ball,,1986
,My Hero Academia: Make It! Do-or-Die Survival Training,Summer,2020
,Slayers Try,Spring,1997
,Shouwa Genroku Rakugo Shinjuu OVA,,2015
,Code Geass: Lelouch of the Rebellion II - Transgression,,2018
,Hitorijime My Hero,Summer,2017
2012,Bleach,Fall ,2004
,Hikaru no Go: Journey to the North Star Cup,,2004
,K-On!!: Plan!,,2011
,Pokemon: GOTCHA!,,2020
,Wushang Shen Di,,2020
,Detective Conan Movie 9: Strategy Above the Depths,,2005
2010,Tentai Senshi Sunred 2,Fall ,2009
1989,City Hunter 2,,1988
,"Hidamari Sketch: Sae & Hiro's Graduation Arc",,2013
,Broken Blade Movie 1: The Time of Awakening,,2010
,Emma: A Victorian Romance - Second Act,Spring,2007
,Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,,2006
,Planetarian Movie: Hoshi no Hito,,2016
,Shadows House,Spring,2021
,The Tibetan Dog,,2011
,"Okko's Inn Movie",,2018
,ID:INVADED,Winter,2020
2003,GaoGaiGar Final,,2000
,The Prince of Tennis II,Winter,2012
,Hanasaku Iroha,Spring,2011
1981,Ashita no Joe 2,,1980
,Backflip!!,Spring,2021
,KonoSuba – God’s blessing on this wonderful world! OVA,,2016
,One Piece: Episode of Luffy - Hand Island no Bouken,,2012
2018,Wu Geng Ji 2nd Season,,2017
,Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,,2017
,Fruits Basket,Summer,2001
,Dou Po Cangqiong,,2017
,Vampire Hunter D: Bloodlust,,2000
,Pretty Guardian Sailor Moon Crystal (2016),Spring,2016
2018,A Day Before Us,,2017
,Bloom Into You,Fall ,2018
,Xingchen Bian 3rd Season,,2021
,91 Days,Summer,2016
,Rakshasa Street,,2016
2013,Seitokai Yakuindomo OVA,,2011
,Detective Conan Movie 24: The Scarlet Bullet,,2021
,Drifters: Special Edition,,2016
,Attack on Titan Movie 2: The Wings of Freedom,,2015
1990,City Hunter 3,,1989
2013,Blast of Tempest,Fall ,2012
,Blue Exorcist Movie,,2012
,Digimon Adventure Tri. Movie 3: Confession,,2016
,Seraph of the End,Spring,2015
,Yuan Long,,2020
2020,Ling Jian Zun 3rd Season,,2019
,Hetalia: The Beautiful World,Winter,2013
,The Royal Tutor,Spring,2017
,Lupin III Special 21: Lupin III vs Detective Conan,,2009
,You and Me. 2,Spring,2012
2011,Hetalia: World Series,Spring,2010
,Persona 3 the Movie 4: Winter of Rebirth,,2016
,Love Live! School Idol Project 2nd Season,Spring,2014
,Yumeiro Pâtissière SP Professional,Fall ,2010
,Food Wars! Shokugeki no Souma OVA,,2016
,K-On! Live House!,,2010
,Big Windup!,Spring,2007
,Cardcaptor Sakura: Clear Card Prologue - Sakura and the Two Bears,,2017
,Ace of the Diamond: Second Season OVA,,2016
,"Love, Chunibyo & Other Delusions!",Fall ,2012
,Interviews with Monster Girls,Winter,2017
,Thunderbolt Fantasy Movie 2: Bewitching Melody of the West,,2019
,Elfen Lied,Summer,2004
,K-On!,Spring,2009
2006,Eureka Seven,Spring,2005
,Yaoshenji 5th Season,,2021
,Knights of Sidonia: Battle for Planet Nine,Spring,2015
1996,Golden Boy,,1995
2019,Luo Xiaohei Zhan Ji,,2011
,Plastic Memories,Spring,2015
,ef - a tale of melodies,Fall ,2008
,Life Lessons with Uramichi Oniisan,Summer,2021
,"Lupin III: Goemon's Blood Spray",,2017
,The World God Only Knows: Tenri Arc,,2012
2008,Shakugan no Shana II,Fall ,2007
,K: Missing Kings,,2014
,One Piece Special: Heart of Gold,,2016
,K: Seven Stories Movie 5 - Memory of Red ~BURN~,,2018
,BanG Dream! Movie: Episode of Roselia - Part II: Song I am,,2021
,Full Metal Panic!,Winter,2002
,Bleach Movie 4: Hell Verse,,2010
,Cells at Work!,Summer,2018
,Peace Sign,,2017
,The Way of the Househusband 2,Fall ,2021
,ef - a tale of memories,Fall ,2007
,Legend of the Galactic Heroes: My Conquest is the Sea of Stars,,1988
,Noblesse: Awakening,,2016
2012,Beelzebub,Winter,2011
2009,Kyo Kara Maoh! 3rd Series,Spring,2008
,Nodame Cantabile: Finale Special,,2010
,Ajin: Demi-Human 2nd Season,Fall ,2016
2019,Star Blazers: Space Battleship Yamato 2202,,2017
2015,Magic Kaito 1412,Fall ,2014
,IDOLiSH7: Third BEAT!,Summer,2021
2015,"Monthly Girls' Nozaki-kun Specials",,2014
2003,Haré+Guu DELUXE,,2002
,Saint Young Men Movie,,2013
,Dusk Maiden of Amnesia,Spring,2012
2008,Eyeshield 21,Spring,2005
,Seitokai Yakuindomo Movie,,2017
,New Game!!,Summer,2017
,Taisho Otome Fairy Tale,Fall ,2021
,Kemono Jihen,Winter,2021
2010,A Certain Scientific Railgun,Fall ,2009
,DARLING in the FRANXX,Winter,2018
,Hanasaku Iroha: Home Sweet Home,,2013
,The Seven Deadly Sins OVA,,2015
2013,"Kuroko's Basketball: NG-shuu",,2012
,Kaiba,Spring,2008
,xxxHOLiC,Spring,2006
,Wan Jie Xian Zong 2nd Season,,2019
2012,Future Diary,Fall ,2011
,Super Lovers OVA,,2017
2014,A Lull in the Sea,Fall ,2013
,Future Boy Conan,,1978
,Daily Lives of High School Boys Specials,,2012
,"Heaven's Lost Property Forte",Fall ,2010
,BanG Dream! 3rd Season,Winter,2020
2016,Pokemon XY&Z,Fall ,2015
,Aria the Origination: That Secret Little Place...,,2008
,Recovery of an MMO Junkie,Fall ,2017
2003,Hikaru no Go,Fall ,2001
1995,Tenchi Muyo! Ryo-Ohki 2,,1994
,K: Return of Kings,Fall ,2015
,Restaurant to Another World 2,Fall ,2021
,Another,Winter,2012
,Pretty Guardian Sailor Moon Eternal Movie 2,,2021
2012,Hakuouki: A Memory of Snow Flowers,,2011
,To Love Ru: Darkness 2nd Specials,,2015
,Yuru Yuri Nachu Yachumi!,,2014
,Is It Wrong to Try to Pick Up Girls in a Dungeon? Movie: Arrow of the Orion,,2019
,Non Non Biyori,Fall ,2013
,"Chi's New Address",Winter,2009
2011,A Certain Magical Index II,Fall ,2010
,Chainsaw Man PV,,2021
,How a Realist Hero Rebuilt the Kingdom: Part II,Winter,2022
,The Heroic Legend of Arslan: Dust Storm Dance,Summer,2016
2019,Meng Qi Shi Shen,,2018
,Sound! Euphonium,Spring,2015
,Food Wars! The Third Plate: Erina no Shin Seikatsu,,2018
,The Garden of Sinners Movie 1: Thanatos. (Overlooking View),,2007
1998,Kodocha,,1996
,Akira,,1988
,Little Witch Academia,,2013
2018,Aikatsu Stars! Hoshi no Tsubasa,Spring,2017
,Claymore,Spring,2007
,Brand New Animal,Spring,2020
,Hidamari Sketch x 365 EX,,2009
,Bai Yao Pu 2nd Season,,2021
1997,Kyou kara Ore wa!!,,1992
,Yowamushi Pedal: New Generation,Winter,2017
2004,Saiyuki Reload: Urasai,,2003
,Super Lovers 2,Winter,2017
,Lie Huo Jiao Chou,,2021
2017,Non Non Biyori Repeat OVA,,2016
,Hakkenden: Eight Dogs of the East 2,Summer,2013
2021,Xie Wang Zhui Qi Zhi Yishi Qingcheng,,2020
,Macross Frontier Movie 2: Sayonara no Tsubasa,,2011
,Wan Jie Xian Zong 5th Season,,2021
,Kokoro Connect,Summer,2012
,The World God Only Knows,Fall ,2010
,Eden of The East Movie II: Paradise Lost,,2010
2018,Mr. Osomatsu 2nd Season,Fall ,2017
2012,Sket Dance,Spring,2011
,Blue Exorcist: Kyoto Saga,Winter,2017
2021,Wan Jie Fa Shen,,2020
,My Hero Academia - All Might: Rising The Animation,,2019
,Zoku Sayonara Zetsubou Sensei,Winter,2008
2020,Fate/Grand Order: Absolute Demonic Front - Babylonia,Fall ,2019
,Liang Bu Yi: Part II,,2021
,Eden of The East Movie I: The King of Eden,,2009
,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,Summer,2019
1980,The Rose of Versailles,,1979
2009,My Bride Is a Mermaid OVA,,2008
,Tiger & Bunny,Spring,2011
2006,Capeta,Fall ,2005
,Kaguya-sama: Love is War - Ultra Romantic PV - Yu Ishigami Wants to Discuss It,,2021
,IDOLiSH7,Winter,2018
,Little Witch Academia: The Enchanted Parade,,2015
,Yotsuiro Biyori,Spring,2018
,Hayate the Combat Butler!!,Spring,2009
2020,Wu Geng Ji 3rd Season,,2019
,The Heroic Legend of Arslan,Spring,2015
1996,Mobile Suit Gundam Wing,,1995
,The Seven Deadly Sins Movie: Prisoners of the Sky,,2018
2007,Hell Girl: Two Mirrors,Fall ,2006
1983,Super Dimensional Fortress Macross,,1982
,Seitokai Yakuindomo Movie 2,,2021
,Meiji Tokyo Renka Movie: Yumihari no Serenade,,2015
,My Little Monster,Fall ,2012
,Shiki Specials,,2011
2008,There She Is!!,,2003
,Orange -Mirai-,,2016
,Mobile Suit Gundam: Thunderbolt - December Sky,,2016
2016,Mr. Osomatsu,Fall ,2015
,Yuru Yuri ♪♪,Summer,2012
,Wan Jie Xian Zong,,2018
,Symphogear XV,Summer,2019
,Cardcaptor Sakura: Clear Card-hen,Winter,2018
,Zan Sayonara Zetsubou Sensei,Summer,2009
,The Familiar of Zero: Knight of the Twin Moons,Summer,2007
,Angel Beats! Stairway to Heaven,,2010
,Toshokan Sensou: Kakumei no Tsubasa,,2012
2020,Rakshasa Street 2nd Season,,2019
,Hidamari Sketch x Honeycomb,Fall ,2012
2021,Xue Ying Lingzhu 2nd Season,,2020
,Quanzhi Fashi III,,2018
,The Irregular at Magic High School,Spring,2014
,Den-noh Coil,Spring,2007
,Holo no Graffiti,Spring,2019
,"Say ""I love you.""",Fall ,2012
2014,Golden Time,Fall ,2013
,Scissor Seven Specials,,2018
,Eve: Ao no Waltz,,2020
,Love Stage!!,Summer,2014
,Boruto: Naruto the Movie - The Day Naruto Became Hokage,,2016
,Seitokai Yakuindomo*,Winter,2014
2000,Master Keaton OVA,,1999
,Ling Jian Zun 2nd Season,,2019
2013,The Prince of Tennis II Specials,,2012
,The Garden of Sinners Movie 6: Fairy Tale. (Oblivion Recording),,2008
,Hakuouki: Demon of the Fleeting Blossom OVA,,2011
,Fairy Tail Movie 1: Phoenix Priestess,,2012
2019,Hinomaru Sumo,Fall ,2018
,Tamayura: Sotsugyou Shashin Movie 4 - Ashita,,2016
,Drifters Specials,,2017
,The Prince of Tennis: Another Story - Kako to Mirai no Message,,2009
,Porco Rosso,,1992
,"Problem Children Are Coming From Another World, Aren't They?",Winter,2013
,To Love Ru: Darkness 2nd OVA,,2016
,Fullmetal Alchemist The Movie: Conqueror of Shamballa,,2005
2009,Goku Sayonara Zetsubou Sensei,,2008
,Death Note Rewrite 1: Visions of a God,,2007
,Akudama Drive,Fall ,2020
,School Rumble: Extra Class,,2005
,L.O.R.D: Legend of Ravaging Dynasties,,2016
2010,Kobato.,Fall ,2009
,Kill La Kill Special,,2014
1997,Ie Naki Ko Remi,,1996
,Ani ni Tsukeru Kusuri wa Nai! 2,Summer,2018
,Azumanga Daioh,Spring,2002
,The Slime Diaries: That Time I Got Reincarnated as a Slime,Spring,2021
,Quanzhi Fashi IV,,2020
,Durarara!! X2 The Third Arc: Dufufufu!,,2016
,Aria the OVA: Arietta,,2007
,The Dog of Flanders Movie,,1997
,Nura: Rise of the Youkai Clan,Summer,2010
2014,Free! - Iwatobi Swim Club Specials,,2013
,The God of High School,Summer,2020
,Beyond the Boundary,Fall ,2013
,Genshiken 2,Fall ,2007
,Inu X Boku Secret Service Special,,2012
,The Irregular at Magic High School Movie: The Girl Who Summons the Stars,,2017
2013,Kingdom,Summer,2012
,"Interviews with Monster Girls: The Demi-chans' Summer Break",,2017
,Kabaneri of the Iron Fortress Movie: The Battle of Unato,,2019
,Detective Conan: The Burning Galactic Railway,,2020
,Quanzhi Fashi V,,2021
,Jiang Ziya,,2020
2014,Ghost in the Shell: Arise,,2013
,Rurouni Kenshin Movie,,1997
,"Neru: Lost One's Weeping",,2013
